奥体中心,32
元通,29
中胜,31
小行,39
安德门,24
中华门,23
三山街,24
张府园,21
新街口,23
珠江路,26
鼓楼,26
玄武门,24
新模范马路,25
南京站,29
红山动物园,24
迈皋桥,26
油坊桥,54
雨润大街,27
奥体东,31
兴隆大街,26
集庆门大街,26
云锦路,26
莫愁湖,25
汉中门,28
上海路,27
大行宫,24
西安门,26
明故宫,26
苜蓿园,23
下马坊,25
孝陵卫,25
钟灵街,27
马群,32
金马路,35
仙鹤门,32
学则路,33
仙林中心,37
羊山公园,37
南大仙林校区,37
经天路,45
天隆寺,26
软件大道,27
花神庙,26
南京南站,32
双龙大道,27
河定桥,30
胜太路,27
百家湖,29
小龙湾,27
竹山路,31
天印大道,32
龙眠大道,32
南医大江苏经贸学院,33
南京交院,33
中国药科大学,37
梦都大街,34
绿博园,36
江心洲,30
临江,42
浦口万汇城,38
南京工业大学,40
龙华路,42
文德路,40
雨山路,72
禄口机场,71
翔宇路南,68
翔宇路北,56
正方中路,36
吉印大道,51
河海大学佛城西路,36
翠屏山,38
泰山新村,40
泰冯路,35
高新开发区,34
信息工程大学,42
卸甲甸,52
大厂,44
葛塘,41
长芦,27
化工园,34
六合开发区,33
龙池,46
雄州,50
凤凰山公园,49
方州广场,46
沈桥,42
八百桥,53
金牛湖,61
林场,43
星火路,34
东大成贤学院,37
天润城,32
柳洲东路,31
上元门,24
五塘广场,27
小市,24
南京林业大学新庄,26
鸡鸣寺,26
浮桥,27
常府街,28
夫子庙,29
武定门,30
雨花门,28
卡子门,28
大明路,31
明发广场,28
宏运大道,28
胜太西路,32
天元西路,34
九龙湖,36
诚信大道,75
东大九龙湖校区,39
秣周东路,46
