奥体中心,30
元通,28
中胜,31
小行,39
安德门,26
中华门,24
三山街,25
张府园,24
新街口,23
珠江路,56
鼓楼,26
玄武门,25
新模范马路,25
南京站,28
红山动物园,25
迈皋桥,26
油坊桥,31
雨润大街,27
奥体东,26
兴隆大街,26
集庆门大街,26
云锦路,26
莫愁湖,26
汉中门,27
上海路,27
大行宫,24
西安门,26
明故宫,25
苜蓿园,23
下马坊,25
孝陵卫,25
钟灵街,27
马群,82
金马路,39
仙鹤门,32
学则路,33
仙林中心,35
羊山公园,35
南大仙林校区,36
经天路,45
天隆寺,26
软件大道,27
花神庙,27
南京南站,34
双龙大道,29
河定桥,32
胜太路,28
百家湖,29
小龙湾,32
竹山路,33
天印大道,35
龙眠大道,36
南医大江苏经贸学院,34
南京交院,37
中国药科大学,41
梦都大街,32
绿博园,50
江心洲,31
临江,37
浦口万汇城,36
南京工业大学,40
龙华路,39
文德路,41
雨山路,59
禄口机场,71
翔宇路南,64
翔宇路北,59
正方中路,38
吉印大道,42
河海大学佛城西路,37
翠屏山,36
泰山新村,39
泰冯路,35
高新开发区,35
信息工程大学,43
卸甲甸,60
大厂,43
葛塘,42
长芦,28
化工园,32
六合开发区,38
龙池,49
雄州,52
凤凰山公园,48
方州广场,46
沈桥,41
八百桥,56
金牛湖,68
林场,48
星火路,35
东大成贤学院,35
天润城,33
柳洲东路,31
上元门,24
五塘广场,28
小市,24
南京林业大学新庄,25
鸡鸣寺,26
浮桥,26
常府街,28
夫子庙,29
武定门,28
雨花门,29
卡子门,28
大明路,30
明发广场,29
宏运大道,29
胜太西路,32
天元西路,35
九龙湖,37
诚信大道,37
东大九龙湖校区,41
秣周东路,43
