奥体中心,30
元通,28
中胜,31
小行,39
安德门,25
中华门,23
三山街,25
张府园,23
新街口,23
珠江路,25
鼓楼,27
玄武门,24
新模范马路,25
南京站,28
红山动物园,25
迈皋桥,26
油坊桥,31
雨润大街,27
奥体东,27
兴隆大街,27
集庆门大街,26
云锦路,26
莫愁湖,25
汉中门,27
上海路,27
大行宫,24
西安门,26
明故宫,25
苜蓿园,25
下马坊,25
孝陵卫,26
钟灵街,30
马群,31
金马路,42
仙鹤门,32
学则路,34
仙林中心,36
羊山公园,37
南大仙林校区,39
经天路,41
天隆寺,26
软件大道,27
花神庙,26
南京南站,33
双龙大道,28
河定桥,32
胜太路,27
百家湖,29
小龙湾,31
竹山路,31
天印大道,32
龙眠大道,34
南医大江苏经贸学院,33
南京交院,35
中国药科大学,39
梦都大街,31
绿博园,34
江心洲,38
临江,31
浦口万汇城,35
南京工业大学,42
龙华路,40
文德路,43
雨山路,55
禄口机场,68
翔宇路南,57
翔宇路北,60
正方中路,36
吉印大道,44
河海大学佛城西路,38
翠屏山,39
泰山新村,38
泰冯路,33
高新开发区,40
信息工程大学,43
卸甲甸,53
大厂,43
葛塘,40
长芦,31
化工园,34
六合开发区,38
龙池,47
雄州,54
凤凰山公园,49
方州广场,49
沈桥,40
八百桥,52
金牛湖,66
林场,43
星火路,34
东大成贤学院,38
天润城,86
柳洲东路,31
上元门,23
五塘广场,27
小市,25
南京林业大学新庄,26
鸡鸣寺,26
浮桥,27
常府街,28
夫子庙,29
武定门,28
雨花门,28
卡子门,28
大明路,30
明发广场,29
宏运大道,29
胜太西路,31
天元西路,34
九龙湖,37
诚信大道,39
东大九龙湖校区,47
秣周东路,45
